Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
391.105,689.488,799.583,690.142,526.126,692.741,724.726,670.675,675.536,568.433,371.096
391.276,572.119,467.461,422.499,485.399,601.192,569.798,462.152,521.41,420.265,434.49
391.447,407.64,425.782,516.896,448.898,431.677,556.038,504.153,624.63,523.157,433.398
391.619,534.05,704.902,643.614,456.752,428.155,548.787,473.123,772.943,506.615,685.82
391.79,670.4,647.672,630.065,792.216,712.167,959.946,757.911,781.428,544.905,525.476
391.961,584.895,401.224,434.103,570.456,551.624,398.394,427.148,544.24,395.329,540.022
392.132,630.091,657.916,563.216,721.852,896.625,568.446,558.778,575.229,637.397,586.641
392.303,534.907,632.571,512.478,423.663,515.263,511.459,620.999,439.201,452.35,463.011
392.475,453.093,659.247,595.621,523.469,697.518,562.828,485.219,441.395,617.114,470.395
392.646,535.825,482.278,465.705,496.072,471.87,520.477,477.226,556.267,553.911,431.152
392.817,432.633,492.228,448.043,433.838,450.98,400.211,429.997,399.773,417.867,453.843
392.988,728.96,722.248,905.087,701.682,611.273,704.713,364.038,805.177,395.182,661.323
393.159,483.412,385.396,402.366,461.153,585.156,467.158,408.72,463.667,439.869,589.843
393.331,426.592,444.414,511.812,528.451,516.299,605.273,426.976,469.668,395.369,532.049
393.502,298.779,471.113,395.546,376.654,505.001,371.98,446.84,479.298,474.027,498.846
393.673,470.465,486.668,480.655,508.684,391.1,420.017,460.907,390.97,404.17,437.612
393.844,771.529,665.179,642.225,682.674,598.869,701.866,545.684,587.142,640.614,709.477
394.016,512.166,632.003,536.662,479.507,510.537,476.085,527.057,574.155,612.269,546.163
394.187,510.384,454.842,582.317,455.492,499.223,431.462,445.571,439.838,483.894,563.611
394.358,443.949,438.782,471.297,448.011,397.185,440.468,512.873,382.798,484.517,349.628
394.529,396.292,472.527,513.143,409.609,476.713,504.689,531.439,545.132,607.131,614.329
394.7,469.583,576.563,587.929,486.829,482.989,534.574,592.464,480.101,510.931,740.723
394.872,605.64,572.589,573.973,525.319,500.149,473.953,578.846,500.818,532.275,570.59
395.043,614.397,607.429,466.15,446.096,557.596,648.279,596.791,562.316,601.311,623.385
395.214,644.059,655.078,620.348,694.7,648.758,640.444,686.399,625.0,720.879,641.048
395.385,794.222,874.199,749.659,866.26,904.561,835.093,995.009,790.056,949.563,737.491
395.557,746.601,655.448,800.636,687.742,754.549,742.829,843.399,924.258,833.744,802.015
395.728,776.951,877.137,889.827,890.8,872.574,779.215,706.593,847.988,764.511,772.534
395.899,1184.13,1181.16,983.804,1052.11,1253.08,1209.48,1220.82,1157.47,1106.11,1295.14
396.07,1032.3,1031.43,1022.59,1108.78,1156.21,1020.32,941.824,933.108,944.874,1022.25
396.241,1206.38,1179.22,1186.66,1287.59,1269.59,1221.15,1302.16,1436.13,1299.01,1184.88
396.413,1622.87,1260.97,1322.47,1412.0,1361.78,1388.03,1241.84,1359.21,1323.96,1365.0
396.584,1452.34,1410.05,1438.37,1488.43,1430.18,1461.25,1627.14,1527.51,1596.83,1542.82
396.755,1560.78,1447.91,1483.93,1428.92,1653.2,1493.63,1490.11,1552.16,1608.04,1529.03
396.926,1675.86,1639.04,1478.89,1496.27,1589.41,1618.46,1567.18,1490.99,1537.33,1634.0
397.098,1532.31,1675.68,1702.77,1604.93,1717.86,1458.76,1655.78,1668.02,1552.43,1693.39
397.269,1739.21,1632.43,1330.5,1564.39,1744.1,1522.35,1528.35,1530.54,1496.1,1528.2
397.44,1230.44,1221.82,1271.88,1286.53,1239.74,1193.23,1384.82,1217.21,1210.97,1294.5
397.611,1040.97,1159.82,1055.26,1186.63,1193.87,1021.22,985.626,1188.23,1134.76,1300.62
397.783,733.382,809.594,703.375,674.043,792.589,578.376,721.666,714.162,789.767,642.571
397.954,482.357,536.936,526.415,699.727,535.216,602.961,580.616,596.599,577.808,567.006
398.125,528.847,464.34,448.622,467.539,470.791,372.542,566.277,478.919,469.86,492.815
398.296,514.581,527.1,482.868,571.61,561.631,531.223,554.872,594.294,483.533,514.345
398.467,531.437,496.758,610.921,567.861,531.703,612.989,587.598,565.523,542.207,593.013
398.639,620.461,632.899,599.883,612.739,677.231,552.881,510.745,668.467,634.299,589.185
398.81,543.982,611.677,455.546,565.334,595.515,539.319,567.228,561.447,597.164,553.163
398.981,578.801,407.072,504.802,620.103,593.882,554.42,550.983,595.518,542.128,568.374
399.152,388.474,556.01,490.599,556.657,558.633,474.505,475.574,546.352,476.131,603.57
399.324,573.136,487.57,530.917,476.298,469.004,568.525,480.808,599.598,513.045,558.319
399.495,518.187,460.584,491.463,610.162,573.859,587.053,423.573,521.23,518.809,516.649
399.666,583.656,541.772,480.384,490.697,597.459,587.0,521.739,531.895,552.679,538.321
399.837,604.911,572.65,584.579,609.558,533.984,716.388,744.934,619.713,632.346,562.088
400.009,464.258,547.29,507.811,554.941,547.143,558.696,622.648,544.1,604.736,503.257
400.18,494.229,467.078,442.946,553.5,527.77,504.149,474.858,529.805,435.722,594.266
400.351,508.705,490.969,594.71,481.786,599.095,498.233,535.835,709.988,530.452,681.551
400.522,514.027,460.099,386.172,457.18,500.622,448.205,494.325,453.19,479.691,501.752
400.694,461.146,586.662,639.637,522.231,556.75,465.714,589.128,522.222,540.159,536.366
400.865,450.971,509.358,360.624,442.129,506.95,501.862,534.359,382.882,516.104,429.273
401.036,466.871,518.384,582.932,480.82,476.429,491.703,514.425,479.436,553.194,549.35
401.207,426.23,514.319,470.904,478.851,591.999,593.732,601.721,516.68,565.877,515.002
401.379,438.371,555.105,494.082,539.336,594.344,440.254,489.308,527.82,599.747,491.08
401.55,467.358,432.561,414.464,562.037,523.595,527.343,578.937,481.052,364.803,545.344
401.721,522.706,527.047,462.501,533.978,495.716,427.758,596.066,518.719,477.211,543.751
401.892,417.843,484.495,510.979,557.333,433.266,425.763,485.581,440.79,493.602,495.784
402.063,402.526,545.642,449.359,541.368,414.314,530.907,491.436,471.05,451.551,458.684
402.235,490.016,608.979,567.813,464.916,586.615,538.056,504.91,512.319,607.986,660.789
402.406,595.335,552.059,571.608,507.549,498.904,586.73,509.415,466.46,613.453,551.263
402.577,532.756,626.431,456.266,562.724,640.029,574.577,603.013,561.593,489.678,544.897
402.748,504.651,540.769,537.993,493.259,481.47,622.057,466.128,483.513,522.008,456.034
402.92,489.56,528.243,474.202,571.746,552.282,424.611,506.672,427.252,440.747,437.94
403.091,390.707,472.656,392.987,538.148,425.77,508.786,370.273,475.833,467.996,483.62
403.262,469.156,510.832,593.731,504.422,435.94,508.427,433.2,533.301,507.968,510.986
403.433,420.323,475.216,459.077,506.031,568.354,511.411,582.506,485.157,601.329,582.877
403.605,474.759,579.03,458.786,510.99,560.117,583.229,477.87,575.801,652.014,615.977
403.776,407.262,459.498,506.234,504.076,488.456,475.828,613.192,473.658,377.926,403.427
403.947,444.556,541.896,523.733,516.572,530.34,540.666,483.939,500.778,562.601,499.584
404.118,672.915,587.614,574.572,546.588,534.673,634.389,653.141,528.758,457.997,532.424
404.29,561.932,534.825,536.924,544.275,543.735,492.102,513.302,662.355,569.249,551.538
404.461,500.358,647.308,605.095,619.204,561.059,616.048,707.295,591.767,578.377,536.69
404.632,616.779,527.491,588.981,520.844,590.82,557.843,596.572,620.095,536.555,526.529
404.803,452.623,514.042,556.969,512.494,523.143,556.235,518.249,533.421,491.015,477.049
