Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u)
666.86,16377.5,16379.5,16378.4,16378.3,16378.0
667.031,16377.5,16379.5,16378.4,16378.3,16378.0
667.202,16377.5,16379.5,16378.4,16378.3,16378.0
667.373,16377.5,16379.5,16378.4,16378.3,16378.0
667.544,16377.5,16379.5,16378.4,16378.3,16378.0
667.715,16377.5,16379.5,16378.4,16378.3,16378.0
667.885,16377.5,16379.5,16378.4,16378.3,16378.0
668.056,16377.5,16379.5,16378.4,16378.3,16378.0
668.227,16377.5,16379.5,16378.4,16378.3,16378.0
668.398,16377.5,16379.5,16378.4,16378.3,16378.0
668.569,16377.5,16379.5,16378.4,16378.3,16378.0
668.74,16377.5,16379.5,16378.4,16378.3,16378.0
668.911,16377.5,16379.5,16378.4,16378.3,16378.0
669.082,16377.5,16379.5,16378.4,16378.3,16378.0
669.253,16377.5,16379.5,16378.4,16378.3,16378.0
