?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
379.122	61.7716	231.949	114.935	0	159.794	207.552	155.047	91.2111	275.3	62.5287
379.293	21.9022	21.7869	20.4838	30.0525	18.6798	34.2022	24.399	33.881	27.4903	46.2578
379.464	40.7953	17.4693	40.4691	34.473	19.0043	43.8109	34.5539	17.5484	24.811	36.4788
379.635	849.089	796.465	943.617	580.745	864.069	474.18	717.64	802.765	1072.22	752.628
379.806	393.764	424.618	774.294	760.827	536.436	676.623	775.724	626.114	707.905	951.479
379.977	28.8828	13.2027	28.2835	29.1141	22.9297	32.9907	35.2025	30.2119	13.9908	0.80953
380.149	540.294	453.013	530.096	614.931	601.827	357.76	413.76	550.625	569.533	314.552
380.32	477.796	360.261	747.572	585.998	313.909	555.927	183.647	343.603	471.081	540.28
380.491	503.414	657.402	404.958	455.407	809.164	652.454	566.306	504.735	392.479	428.717
380.662	484.284	435.291	468.802	549.838	704.973	760.621	684.908	503.36	824.178	509.423
380.833	435.446	809.905	477.562	375.787	378.025	381.368	491.292	464.583	233.368	612.331
381.005	392.953	529.914	388.196	381.454	439.449	278.405	304.07	695.029	463.124	434.466
381.176	400.576	235.587	516.562	270.672	575.988	247.112	385.909	266.99	283.495	368.308
381.347	308.965	268.416	248.305	242.716	383.06	235.542	303.412	344.168	262.305	260.6
381.518	664.489	684.945	726.972	276.659	344.662	486.933	326.783	376.799	288.157	283.785
381.689	495.856	268.037	452.374	573.259	285.385	311.993	368.681	306.52	465.658	401.424
381.86	598.75	632.423	670.886	517.47	447.099	506.889	361.746	426.565	684.091	368.959
382.032	356.008	1051.81	706.448	512.575	511.015	613.637	514.271	575.253	883.335	447.861
382.203	903.722	1038.2	480.583	633.01	947.229	781.015	792.61	762.104	737.275	760.282
382.374	592.674	522.301	732.613	1019.11	733.166	653.859	514.239	698.429	441.741	682.428
382.545	865.768	818.662	682.152	1014.29	817.653	899.074	1078.98	681.436	693.201	470.462
382.716	476.886	275.18	450.408	406.147	411.637	450.489	424.071	333.968	445.113	413.349
382.887	562.937	550.386	730.163	672.167	733.706	467.679	545.68	492.705	565.286	548.417
383.059	339.448	331.736	367.5	573.724	413.574	449.115	424.34	440.782	381.299	498.402
383.23	484.884	574.647	809.652	784.303	697.401	627.107	625.617	473.443	617.894	654.855
383.401	522.357	636.968	890.177	470.236	574.633	701.221	514.127	715.164	524.524	580.224
383.572	692.212	730.089	818.541	685.733	690.202	615.601	599.872	815.062	514.823	681.294
383.743	648.136	595.597	580.473	511.521	529.353	702.456	490.277	707.629	597.595	782.113
383.915	658.903	656.161	828.036	819.417	504.673	866.588	551.626	666.141	858.14	692.399
384.086	690.295	825.261	766.025	419.888	627.757	717.547	648.702	614.676	496.636	456.764
384.257	774.225	939.877	720.244	832.842	1078.46	880.26	751.754	871.662	632.036	970.136
384.428	323.378	429.774	547.743	506.936	382.829	406.156	545.166	545.177	501.032	303.438
384.599	541.399	412.499	497.614	602.522	651.773	368.595	342.946	669.175	460.145	616.959
384.771	711.799	843.952	883.042	1026.83	937.831	1116.97	867.698	672.317	1129.09	695.644
