?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
394.358	154.269	157.041	276.809	154.215	48.2128	206.517	184.001	201.281	66.6166	114.557
394.529	112.338	213.78	122.807	224.427	161.86	298.102	153.067	77.4584	39.1193	182.403
394.7	101.916	109.152	148.386	161.679	184.597	111.589	33.1728	97.4605	75.1058	54.1117
394.872	260.253	65.3093	154.712	137.31	171.872	181.551	229.82	159.53	256.548	214.467
395.043	51.2075	204.197	127.566	16.7352	103.269	146.725	70.5409	225.152	118.162	206.103
395.214	111.602	134.055	361.631	173.049	192.058	250.433	229.779	253.855	199.439	164.421
395.385	195.053	248.809	395.58	271.368	218.749	263.938	366.184	200.28	184.23	403.199
395.557	242.459	392.672	198.145	308.965	151.907	270.515	256.604	274.046	234.041	377.346
395.728	243.993	307.466	307.329	464.908	305.663	341.643	298.642	375.32	335.846	306.377
395.899	553.03	523.815	392.24	522.183	424.514	538.965	547.92	546.154	410.712	564.222
396.07	416.15	488.486	465.623	471.472	492.415	344.567	506.784	511.199	416.99	413.553
396.241	471.474	483.801	655.984	551.546	558.716	657.183	635.961	529.891	626.324	608.856
396.413	693.911	636.997	647.959	606.991	577.92	642.875	671.676	852.15	682.318	627.983
396.584	734.087	684.996	656.34	756.412	635.32	719.427	575.453	526.352	679.664	717.193
396.755	667.867	755.562	743.339	772.243	617.526	845.819	732.732	766.095	810.971	769.588
396.926	880.369	738.405	814.476	814.649	772.352	673.685	799.512	801.115	791.665	713.405
397.098	548.309	616.69	595.291	701.832	743.882	687.641	611.983	823.289	584.238	632.309
397.269	419.021	459.401	538.091	417.576	510.742	455.616	444.19	548.124	562.716	570.612
397.44	451.957	314.748	378.657	439.817	402.723	385.94	270.386	447.333	334.023	333.472
397.611	256.231	359.132	118.838	280.905	368.873	259.499	294.616	411.193	466.392	333.649
397.783	181.614	111.984	284.41	151.386	249.284	187.198	211.734	164.909	105.391	260.737
397.954	298.074	77.4757	145.988	200.199	189.561	69.6942	267.192	264.401	198.192	191.77
398.125	183.491	139.886	97.6173	101.602	162.688	149.575	0	174.394	70.5709	193.676
398.296	94.4226	181.963	220.35	92.9259	98.0092	80.4518	106.032	142.126	115.07	171.581
398.467	176.006	68.841	134.74	211.215	172.639	184.287	122.978	0	113.815	176.336
398.639	240.478	119.922	167.408	127.404	48.0874	156.649	168.873	124.346	195.285	97.997
398.81	72.3092	182.257	133.764	108.413	204.842	157.583	163.283	186.312	157.637	143.579
398.981	201.093	198.093	123.71	177.344	160.56	167.919	102.897	126.772	84.7067	170.27
399.152	252.532	156.715	134.884	99.3528	48.2122	130.705	218.983	117.261	195.813	159.464
399.324	102.621	252.167	213.587	109.074	149.921	113.861	248.014	191.252	251.727	147.739
399.495	148.225	233.227	214.649	255.945	119.439	136.3	349.358	203.436	129.207	164.065
399.666	196.206	135.018	248.928	112.476	198.459	141.142	205.136	278.296	149.167	161.792
399.837	194.959	126.181	267.473	212.488	320.335	229.212	243.312	239.831	173.811	144.035
400.009	119.347	151.392	109.306	81.5115	116.135	181.657	121.866	219.898	85.2054	119.55
400.18	90.3678	132.411	179.758	191.794	49.0638	109.469	111.119	103.418	154.405	170.918
400.351	144.782	134.835	247.2	177.049	124.675	130.126	164.203	237.496	182.168	91.5589
400.522	78.2561	183.41	91.9917	147.835	189.274	226.715	164.251	245.126	167.638	40.149
400.694	116.345	152.591	175.861	264.529	199.254	198.936	210.981	217.717	189.909	174.943
400.865	44.3728	108.235	101.785	52.9206	145.799	91.3729	111.817	51.74	146.795	48.0868
401.036	148.906	116.84	223.664	199.621	107.762	132.879	203.262	136.003	46.3753	106.85
401.207	209.964	116.748	81.8646	77.8616	41.4177	109.307	102.685	132.038	82.9258	169.855
401.379	162.418	167.234	117.824	222.783	85.0095	197.017	126.64	90.2736	211.02	181.312
401.55	174.901	153.195	166.923	279.491	180.832	175.409	212.37	175.993	234.885	138.227
401.721	136.061	74.2088	130.626	109.406	170.885	210.744	109.227	81.819	46.1406	141.035
401.892	141.093	148.165	95.3753	45.3577	55.06	146.411	121.05	145.799	204.066	199.712
402.063	111.034	62.8435	108.139	194.311	190.53	96.7221	213.795	104.702	111.606	142.875
402.235	230.809	122.745	147.584	114.854	169.895	161.703	125.196	120.153	110.469	115.089
402.406	94.3772	176.558	168.433	159.296	131.17	181.364	160.441	188.546	148.222	198.06
402.577	184.252	196.441	93.5824	175.914	86.6104	211.007	89.4513	204.672	174.066	137.841
402.748	82.4755	197.9	141.553	180.672	103.896	129.728	158.723	154.461	189.529	110.871
402.92	126.601	126.299	118.979	167.95	84.5565	200.779	127.291	158.546	79.49	125.232
403.091	106.222	126.726	102.348	107.99	113.571	89.8889	156.197	212.619	114.309	88.2856
403.262	146.687	141.673	189.635	105.245	173.328	134.088	189.612	225.143	160.098	122.995
403.433	131.851	97.7677	174.845	88.0897	144.757	56.1952	145.853	171.486	145.67	148.601
403.605	239.988	192.687	172.33	216.942	112.969	220.47	254.472	233.12	173.378	171.401
403.776	158.107	220.352	159.728	110.426	159.957	139.584	235.522	219.392	169.485	141.278
403.947	223.066	125.995	174.197	194.407	202.64	192.716	119.894	203.976	216.49	287.768
404.118	165.856	93.6432	224.806	165.612	176.836	199.195	155.331	146.743	122.279	163.284
404.29	204.045	95.6213	194.834	122.028	246.431	242.28	218.712	169.906	151.824	146.124
404.461	152.747	138.176	121.026	257.118	221.625	240.921	154.986	293.757	191.333	220.749
404.632	226.887	180.462	111.071	40.7901	124.507	184.788	248.271	83.3984	212.867	152.676
404.803	94.634	134.424	148.352	107.221	171.407	50.2309	101.624	143.258	127.591	50.8172
404.975	137.796	125.535	176.81	141.066	150.588	144.144	53.5466	92.1267	122.769	156.773
405.146	38.1787	83.61	131.602	186.093	90.9016	132.48	87.1226	102.21	77.0419	117.116
405.317	227.19	233.653	208.274	124.796	226.79	271.647	257.372	205.807	170.814	216.643
405.488	112.317	224.014	140.37	198.826	236.578	207.461	183.793	172.684	230.528	203.515
405.66	158.971	202.421	205.791	243.787	234.295	132.105	146.635	247.463	171.305	187.162
405.831	257.426	215.319	252.274	231.534	208.324	181.122	202.35	294.343	212.644	301.291
